scenario,method,trajectory_count,repetition,temporal_qualification_rate,stability,lag_support,lag_std,stability_estimable,temporal_qualification_rate_ci_low,temporal_qualification_rate_ci_high,stability_ci_low,stability_ci_high
schelling,full_method,1,3,0.7931034482758621,,,,False,,,,
schelling,full_method,1,4,0.6896551724137931,,,,False,,,,
schelling,full_method,1,5,0.7241379310344828,,,,False,,,,
schelling,full_method,1,6,0.6206896551724138,,,,False,,,,
schelling,full_method,1,7,0.7586206896551724,,,,False,,,,
schelling,full_method,1,8,0.7241379310344828,,,,False,,,,
schelling,full_method,1,9,0.9655172413793104,,,,False,,,,
schelling,full_method,1,10,0.9655172413793104,,,,False,,,,
schelling,full_method,1,11,0.7931034482758621,,,,False,,,,
schelling,full_method,2,0,0.7931034482758621,0.9739130434782608,0.7942028985507246,0.5242910711917758,True,0.7586206896551724,0.8275862068965517,0.8916666666666665,0.9727272727272727
schelling,full_method,2,1,0.7586206896551724,0.9787878787878787,0.856060606060606,0.4883308578202982,True,0.6896551724137931,0.896551724137931,0.8192307692307691,0.9766666666666666
schelling,full_method,2,2,0.8620689655172413,0.976,0.6933333333333332,0.7334865501353569,True,0.7931034482758621,0.896551724137931,0.9230769230769229,0.9739130434782608
